-- TPC-H query templates (qgen .sql) and complexity labels (tab-separated).
-- qgen does not read this file; it is the label source for 06/08 reports.
-- More labels => typically harder for the engine. Vocabulary:
--   Joins   5+ tables; join order is critical
--   Disj    OR of brand/container/qty ranges
--   Subq    subquery references outer query columns
--   NL      correlated/EXISTS/IN shape often executed as nested loops (Postgres)
--   Anti    EXISTS, NOT EXISTS, IN (subquery)
--   RAM     DISTINCT, large GROUP BY / hash agg / sort
--   Spill   high chance of temp/spill on large lineitem joins/aggs
--   CPU     CASE / arithmetic / SUBSTR / LIKE
--   IO      large fact (lineitem) scan
--
-- filename	labels
1.sql	IO,CPU
2.sql	Joins,Subq,NL,CPU
3.sql	IO,RAM
4.sql	Subq,Anti,NL,IO
5.sql	Joins,IO,RAM
6.sql	IO,CPU
7.sql	Joins,CPU,RAM,IO
8.sql	Joins,CPU,RAM
9.sql	Joins,IO,Spill,RAM
10.sql	IO,RAM
11.sql	Subq,RAM,CPU
12.sql	CPU,IO
13.sql	RAM,CPU,Spill
14.sql	CPU,IO
15.sql	RAM,IO,CPU
16.sql	Anti,RAM,CPU
17.sql	Subq,NL,Anti,RAM,Spill
18.sql	Anti,RAM,Spill,IO
19.sql	Disj,CPU,IO
20.sql	Subq,NL,Anti,RAM,Spill,IO
21.sql	Subq,NL,Anti,Spill,RAM,IO
22.sql	Anti,CPU,RAM
